Record Date,Annualized Effective Rate,Daily Factor,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2024-01-02,4.19,0.000112154,1,2024,2,2024,1,01,02
2023-12-29,4.19,0.000112154,1,2024,1,2023,4,12,29
2023-12-28,4.19,0.000112154,1,2024,1,2023,4,12,28
2023-12-27,4.19,0.000112154,1,2024,1,2023,4,12,27
2023-12-26,4.19,0.000112154,1,2024,1,2023,4,12,26
2023-12-22,4.19,0.000112154,1,2024,1,2023,4,12,22
2023-12-21,4.19,0.000112154,1,2024,1,2023,4,12,21
2023-12-20,4.19,0.000112154,1,2024,1,2023,4,12,20
2023-12-19,4.19,0.000112154,1,2024,1,2023,4,12,19
2023-12-18,4.19,0.000112154,1,2024,1,2023,4,12,18
2023-12-15,4.19,0.000112154,1,2024,1,2023,4,12,15
2023-12-14,4.19,0.000112154,1,2024,1,2023,4,12,14
2023-12-13,4.19,0.000112154,1,2024,1,2023,4,12,13
2023-12-12,4.19,0.000112154,1,2024,1,2023,4,12,12
2023-12-11,4.19,0.000112154,1,2024,1,2023,4,12,11
2023-12-08,4.19,0.000112154,1,2024,1,2023,4,12,08
2023-12-07,4.19,0.000112154,1,2024,1,2023,4,12,07
2023-12-06,4.19,0.000112154,1,2024,1,2023,4,12,06
2023-12-05,4.19,0.000112154,1,2024,1,2023,4,12,05
2023-12-04,4.21,0.000112678,1,2024,1,2023,4,12,04
2023-12-01,4.21,0.000112678,1,2024,1,2023,4,12,01
2023-11-30,4.21,0.000112678,1,2024,1,2023,4,11,30
2023-11-29,4.21,0.000112678,1,2024,1,2023,4,11,29
2023-11-28,4.21,0.000112678,1,2024,1,2023,4,11,28
2023-11-27,4.20,0.000112416,1,2024,1,2023,4,11,27
2023-11-24,4.20,0.000112416,1,2024,1,2023,4,11,24
2023-11-22,4.20,0.000112416,1,2024,1,2023,4,11,22
2023-11-21,4.20,0.000112416,1,2024,1,2023,4,11,21
2023-11-20,4.21,0.000112678,1,2024,1,2023,4,11,20
2023-11-17,4.21,0.000112678,1,2024,1,2023,4,11,17
2023-11-16,4.21,0.000112678,1,2024,1,2023,4,11,16
2023-11-15,4.21,0.000112678,1,2024,1,2023,4,11,15
2023-11-14,4.21,0.000112678,1,2024,1,2023,4,11,14
2023-11-13,4.21,0.000112678,1,2024,1,2023,4,11,13
2023-11-10,4.21,0.000112678,1,2024,1,2023,4,11,10
2023-11-09,4.21,0.000112678,1,2024,1,2023,4,11,09
2023-11-08,4.21,0.000112678,1,2024,1,2023,4,11,08
2023-11-07,4.21,0.000112678,1,2024,1,2023,4,11,07
2023-11-06,4.25,0.000113727,1,2024,1,2023,4,11,06
2023-11-03,4.25,0.000113727,1,2024,1,2023,4,11,03
2023-11-02,4.25,0.000113727,1,2024,1,2023,4,11,02
2023-11-01,4.25,0.000113727,1,2024,1,2023,4,11,01
2023-10-31,4.25,0.000113727,1,2024,1,2023,4,10,31
2023-10-30,4.23,0.000113203,1,2024,1,2023,4,10,30
2023-10-27,4.23,0.000113203,1,2024,1,2023,4,10,27
2023-10-26,4.23,0.000113203,1,2024,1,2023,4,10,26
2023-10-25,4.23,0.000113203,1,2024,1,2023,4,10,25
2023-10-24,4.23,0.000113203,1,2024,1,2023,4,10,24
2023-10-23,4.26,0.000113989,1,2024,1,2023,4,10,23
2023-10-20,4.26,0.000113989,1,2024,1,2023,4,10,20
2023-10-19,4.26,0.000113989,1,2024,1,2023,4,10,19
