DATE,DPRIME
2007-12-31,7.25
2008-01-01,.
2008-01-02,7.25
2008-01-03,7.25
2008-01-04,7.25
2008-01-07,7.25
2008-01-08,7.25
2008-01-09,7.25
2008-01-10,7.25
2008-01-11,7.25
2008-01-14,7.25
2008-01-15,7.25
2008-01-16,7.25
2008-01-17,7.25
2008-01-18,7.25
2008-01-21,.
2008-01-22,6.50
2008-01-23,6.50
2008-01-24,6.50
2008-01-25,6.50
2008-01-28,6.50
2008-01-29,6.50
2008-01-30,6.00
2008-01-31,6.00
2008-02-01,6.00
2008-02-04,6.00
2008-02-05,6.00
2008-02-06,6.00
2008-02-07,6.00
2008-02-08,6.00
2008-02-11,6.00
2008-02-12,6.00
2008-02-13,6.00
2008-02-14,6.00
2008-02-15,6.00
2008-02-18,.
2008-02-19,6.00
2008-02-20,6.00
2008-02-21,6.00
2008-02-22,6.00
2008-02-25,6.00
2008-02-26,6.00
2008-02-27,6.00
2008-02-28,6.00
2008-02-29,6.00
2008-03-03,6.00
2008-03-04,6.00
2008-03-05,6.00
2008-03-06,6.00
2008-03-07,6.00
2008-03-10,6.00
2008-03-11,6.00
2008-03-12,6.00
2008-03-13,6.00
2008-03-14,6.00
2008-03-17,6.00
2008-03-18,5.25
2008-03-19,5.25
2008-03-20,5.25
2008-03-21,5.25
2008-03-24,5.25
2008-03-25,5.25
2008-03-26,5.25
2008-03-27,5.25
2008-03-28,5.25
2008-03-31,5.25
2008-04-01,5.25
2008-04-02,5.25
2008-04-03,5.25
2008-04-04,5.25
2008-04-07,5.25
2008-04-08,5.25
2008-04-09,5.25
2008-04-10,5.25
2008-04-11,5.25
2008-04-14,5.25
2008-04-15,5.25
2008-04-16,5.25
2008-04-17,5.25
2008-04-18,5.25
2008-04-21,5.25
2008-04-22,5.25
2008-04-23,5.25
2008-04-24,5.25
2008-04-25,5.25
2008-04-28,5.25
2008-04-29,5.25
2008-04-30,5.00
2008-05-01,5.00
2008-05-02,5.00
2008-05-05,5.00
2008-05-06,5.00
2008-05-07,5.00
2008-05-08,5.00
2008-05-09,5.00
2008-05-12,5.00
2008-05-13,5.00
2008-05-14,5.00
2008-05-15,5.00
2008-05-16,5.00
2008-05-19,5.00
2008-05-20,5.00
2008-05-21,5.00
2008-05-22,5.00
2008-05-23,5.00
2008-05-26,.
2008-05-27,5.00
2008-05-28,5.00
2008-05-29,5.00
2008-05-30,5.00
2008-06-02,5.00
2008-06-03,5.00
2008-06-04,5.00
2008-06-05,5.00
2008-06-06,5.00
2008-06-09,5.00
2008-06-10,5.00
2008-06-11,5.00
2008-06-12,5.00
2008-06-13,5.00
2008-06-16,5.00
2008-06-17,5.00
2008-06-18,5.00
2008-06-19,5.00
2008-06-20,5.00
2008-06-23,5.00
2008-06-24,5.00
2008-06-25,5.00
2008-06-26,5.00
2008-06-27,5.00
2008-06-30,5.00
2008-07-01,5.00
2008-07-02,5.00
2008-07-03,5.00
2008-07-04,.
2008-07-07,5.00
2008-07-08,5.00
2008-07-09,5.00
2008-07-10,5.00
2008-07-11,5.00
2008-07-14,5.00
2008-07-15,5.00
2008-07-16,5.00
2008-07-17,5.00
2008-07-18,5.00
2008-07-21,5.00
2008-07-22,5.00
2008-07-23,5.00
2008-07-24,5.00
2008-07-25,5.00
2008-07-28,5.00
2008-07-29,5.00
2008-07-30,5.00
2008-07-31,5.00
2008-08-01,5.00
2008-08-04,5.00
2008-08-05,5.00
2008-08-06,5.00
2008-08-07,5.00
2008-08-08,5.00
2008-08-11,5.00
2008-08-12,5.00
2008-08-13,5.00
2008-08-14,5.00
2008-08-15,5.00
2008-08-18,5.00
2008-08-19,5.00
2008-08-20,5.00
2008-08-21,5.00
2008-08-22,5.00
2008-08-25,5.00
2008-08-26,5.00
2008-08-27,5.00
2008-08-28,5.00
2008-08-29,5.00
2008-09-01,.
2008-09-02,5.00
2008-09-03,5.00
2008-09-04,5.00
2008-09-05,5.00
2008-09-08,5.00
2008-09-09,5.00
2008-09-10,5.00
2008-09-11,5.00
2008-09-12,5.00
2008-09-15,5.00
2008-09-16,5.00
2008-09-17,5.00
2008-09-18,5.00
2008-09-19,5.00
2008-09-22,5.00
2008-09-23,5.00
2008-09-24,5.00
2008-09-25,5.00
2008-09-26,5.00
2008-09-29,5.00
2008-09-30,5.00
2008-10-01,5.00
2008-10-02,5.00
2008-10-03,5.00
2008-10-06,5.00
2008-10-07,5.00
2008-10-08,4.50
2008-10-09,4.50
2008-10-10,4.50
2008-10-13,.
2008-10-14,4.50
2008-10-15,4.50
2008-10-16,4.50
2008-10-17,4.50
2008-10-20,4.50
2008-10-21,4.50
2008-10-22,4.50
2008-10-23,4.50
2008-10-24,4.50
2008-10-27,4.50
2008-10-28,4.50
2008-10-29,4.00
2008-10-30,4.00
2008-10-31,4.00
2008-11-03,4.00
2008-11-04,4.00
2008-11-05,4.00
2008-11-06,4.00
2008-11-07,4.00
2008-11-10,4.00
2008-11-11,4.00
2008-11-12,4.00
2008-11-13,4.00
2008-11-14,4.00
2008-11-17,4.00
2008-11-18,4.00
2008-11-19,4.00
2008-11-20,4.00
2008-11-21,4.00
2008-11-24,4.00
2008-11-25,4.00
2008-11-26,4.00
2008-11-27,.
2008-11-28,4.00
2008-12-01,4.00
2008-12-02,4.00
2008-12-03,4.00
2008-12-04,4.00
2008-12-05,4.00
2008-12-08,4.00
2008-12-09,4.00
2008-12-10,4.00
2008-12-11,4.00
2008-12-12,4.00
2008-12-15,4.00
2008-12-16,3.25
2008-12-17,3.25
2008-12-18,3.25
2008-12-19,3.25
2008-12-22,3.25
2008-12-23,3.25
2008-12-24,3.25
2008-12-25,3.25
