Date,Price,Open,High,Low,Change %,VaR,rf,kelly,kelly_ratio,portfolio,equity,cash
08/11/2005,1237.8,1229.1,1237.8,1228.3,0.0070999999999999995,-0.011399999999999999,0.02,4.270014464807914,0.042700144648079134,1.0,0.042700144648079134,0.9572998553519209
08/12/2005,1230.4,1237.8,1237.8,1225.9,-0.006,-0.011399999999999999,0.02,4.280656343772476,0.04280656343772476,1.0,0.04244394378019066,0.9764458524589593
08/16/2005,1219.3,1233.9,1233.9,1219.0,-0.0118,-0.011699999999999999,0.02,4.131834062115363,0.04131834062115363,1.0188897962391499,0.04194310524358441,0.9959747695081386
08/17/2005,1220.2,1219.3,1225.6,1218.1,0.0007000000000000001,-0.011699999999999999,0.02,4.011186124151401,0.04011186124151401,1.037917874751723,0.04197246541725492,1.0158942648983014
08/18/2005,1219.0,1220.2,1222.6,1215.9,-0.001,-0.011699999999999999,0.02,3.780133998784215,0.03780133998784215,1.0578667303155562,0.041930492951837664,1.0362121501962673
08/19/2005,1219.7,1219.0,1225.1,1219.0,0.0006,-0.011699999999999999,0.02,3.384593991167945,0.033845939911679446,1.078142643148105,0.04195565124760876,1.0569363932001927
08/22/2005,1221.7,1219.7,1229.0,1216.5,0.0016,-0.011699999999999999,0.02,3.610414328089134,0.03610414328089134,1.0988920444478014,0.04202278028960494,1.0780751210641966
08/23/2005,1217.6,1221.7,1223.0,1214.4,-0.0034000000000000002,-0.011699999999999999,0.02,3.6463815753957203,0.036463815753957206,1.1200979013538015,0.041879902836620284,1.0996366234854804
08/24/2005,1209.6,1217.6,1224.2,1209.4,-0.0066,-0.011699999999999999,0.02,3.3123182134737115,0.03312318213473711,1.1415165263221008,0.041603495477898586,1.12162935595519
08/25/2005,1212.4,1209.6,1213.7,1209.6,0.0023,-0.011699999999999999,0.02,3.4367985657766926,0.03436798565776693,1.1632328514330885,0.041699183517497754,1.1440619430742938
08/26/2005,1205.1,1212.4,1212.4,1204.2,-0.006,-0.011699999999999999,0.02,3.265315398029457,0.03265315398029457,1.1857611265917916,0.04144898841639277,1.1669431819357796
08/29/2005,1212.3,1205.1,1214.3,1201.5,0.006,-0.011399999999999999,0.02,2.810990939131728,0.02810990939131728,1.2083921703521723,0.04169768234689113,1.1902820455744951
08/30/2005,1208.4,1212.3,1212.3,1201.1,-0.0032,-0.011399999999999999,0.02,2.8517660292322686,0.028517660292322687,1.2319797279213862,0.04156424976338108,1.214087686485985
08/31/2005,1220.3,1208.4,1220.4,1204.4,0.0098,-0.011399999999999999,0.02,2.862433660467223,0.02862433660467223,1.255651936249366,0.041971579411062214,1.2383694402157048
09/01/2005,1221.6,1220.3,1227.3,1216.2,0.0011,-0.011399999999999999,0.02,3.211704158578983,0.03211704158578983,1.280341019626767,0.042017748148414386,1.263136829020019
09/02/2005,1218.0,1221.6,1224.5,1217.8,-0.0029,-0.011399999999999999,0.02,3.3688688812133694,0.033688688812133695,1.3051545771684332,0.04189589667878398,1.2883995656004192
09/06/2005,1233.4,1218.0,1233.6,1218.0,0.0126,-0.011399999999999999,0.02,3.657289967290088,0.03657289967290088,1.3302954622792031,0.042423784976936656,1.3141675569124276
09/07/2005,1236.4,1233.4,1237.1,1230.9,0.0024,-0.011399999999999999,0.02,3.7985527385022775,0.037985527385022776,1.3565913418893643,0.0425256020608813,1.3404509080506761
09/08/2005,1231.7,1236.4,1236.4,1229.5,-0.0038,-0.011399999999999999,0.02,4.1045769350698995,0.04104576935069899,1.3829765101115574,0.042364004773049954,1.3672599262116896
09/09/2005,1241.5,1231.7,1243.1,1231.7,0.008,-0.011399999999999999,0.02,4.267461388881831,0.042674613888818304,1.4096239309847396,0.04270291681123435,1.3946051247359235
09/12/2005,1240.6,1241.5,1242.6,1239.2,-0.0007000000000000001,-0.011399999999999999,0.02,4.240319299804716,0.04240319299804716,1.4373080415471577,0.04267302476946649,1.422497227230642
09/13/2005,1231.2,1240.6,1240.6,1231.2,-0.0076,-0.011399999999999999,0.02,4.093866691775042,0.040938666917750416,1.4651702520001084,0.04234870978121854,1.450947171775255
09/14/2005,1227.2,1231.2,1234.7,1226.2,-0.0032,-0.011399999999999999,0.02,4.016029785970256,0.04016029785970256,1.4932958815564734,0.04221319390991864,1.47996611521076
09/15/2005,1227.7,1227.2,1231.9,1224.8,0.0004,-0.011399999999999999,0.02,3.979597477345579,0.03979597477345579,1.5221793091206786,0.04223007918748261,1.5095654375149752
09/16/2005,1237.9,1228.4,1238.0,1228.4,0.0083,-0.011399999999999999,0.02,3.864167493868321,0.03864167493868321,1.5517955167024577,0.04258058884473871,1.5397567462652748
09/20/2005,1221.3,1231.0,1236.5,1220.1,-0.0079,-0.011399999999999999,0.02,4.009854918320275,0.04009854918320275,1.5823373351100136,0.042244202192865274,1.5705518811905803
09/21/2005,1210.2,1221.3,1221.5,1209.9,-0.0091,-0.011399999999999999,0.02,4.002446973199761,0.04002446973199761,1.6127960833834456,0.0418597799529102,1.601962918814392
09/22/2005,1214.6,1210.2,1216.6,1205.3,0.0036,-0.011399999999999999,0.02,4.04809395116072,0.040480939511607195,1.6438226987673021,0.04201047516074068,1.6340021771906799
09/23/2005,1215.3,1214.6,1218.8,1209.8,0.0006,-0.011399999999999999,0.02,3.6937974171502974,0.03693797417150298,1.6760126523514205,0.04203568144583712,1.6666822207344936
09/26/2005,1215.6,1215.3,1222.6,1211.8,0.0002,-0.011399999999999999,0.02,4.144897104217855,0.04144897104217855,1.7087179021803307,0.04204408858212629,1.7000158651491835
09/27/2005,1215.7,1215.6,1220.2,1211.1,0.0001,-0.011399999999999999,0.02,4.068380047562425,0.040683800475624254,1.7420599537313097,0.042048292990984504,1.7340161824521672
09/28/2005,1216.9,1215.7,1221.0,1212.7,0.001,-0.011399999999999999,0.02,4.328131225782003,0.04328131225782003,1.7760644754431516,0.042090341283975485,1.7686965061012105
09/29/2005,1227.7,1216.9,1228.7,1211.5,0.0089,-0.011399999999999999,0.02,4.340756192204829,0.04340756192204829,1.810786847385186,0.04246494532140287,1.8040704362232347
09/30/2005,1228.8,1227.7,1229.6,1225.2,0.0009,-0.011399999999999999,0.02,4.422081434003247,0.04422081434003247,1.8465353815446375,0.042503163772192126,1.8401518449476995
10/04/2005,1214.5,1226.7,1229.9,1214.0,-0.009899999999999999,-0.011399999999999999,0.02,4.608565152088429,0.04608565152088429,1.8826550087198917,0.04208238245084742,1.8769548818466535
10/05/2005,1196.4,1214.5,1214.5,1196.2,-0.0149,-0.011699999999999999,0.02,4.426578068187447,0.04426578068187447,1.9190372642975009,0.0414553549523298,1.9144939794835867
10/06/2005,1191.5,1196.4,1202.1,1181.9,-0.0040999999999999995,-0.011699999999999999,0.02,3.851915951843549,0.038519159518435486,1.9559493344359165,0.04128538799702525,1.9527838590732585
10/07/2005,1195.9,1191.5,1199.7,1191.5,0.0037,-0.011699999999999999,0.02,3.6032423422157196,0.0360324234221572,1.9940692470702837,0.04143814393261424,1.9918395362547237
10/10/2005,1187.3,1195.9,1196.5,1186.1,-0.0072,-0.011399999999999999,0.02,3.9269210173130564,0.039269210173130564,2.033277680187338,0.04113978929629942,2.0316763269798184
10/11/2005,1184.9,1187.3,1193.1,1183.2,-0.002,-0.011200000000000002,0.02,3.922830959842109,0.03922830959842109,2.0728161162761176,0.04105750971770682,2.072309853519415
10/12/2005,1177.7,1184.9,1190.0,1173.7,-0.0060999999999999995,-0.011200000000000002,0.02,3.635926927965375,0.03635926927965375,2.1133673632371215,0.040807058908428805,2.1137560505898034
10/13/2005,1176.8,1177.7,1179.6,1168.2,-0.0008,-0.0111,0.02,3.411656646915751,0.03411656646915751,2.1545631094982323,0.04077441326130206,2.1560311716015996
10/14/2005,1186.6,1176.8,1187.1,1175.4,0.0083,-0.0111,0.02,3.5255786436123313,0.035255786436123315,2.1968055848629016,0.041112840891370864,2.1991517950336315
10/17/2005,1190.1,1186.6,1191.2,1184.5,0.0029,-0.0111,0.02,3.6272590489102194,0.0362725904891022,2.2402646359250022,0.041232068129955834,2.243134830934304
10/18/2005,1178.1,1190.1,1190.1,1178.1,-0.0101,-0.0111,0.02,3.8458327862201407,0.03845832786220141,2.28436689906426,0.04081562424184328,2.28799752755299
