Date,Price,Open,High,Low,Change %,Change,trix,buy_signal,sell_signal,rf,VaR,kelly,kelly_ratio,portfolio,equity,cash
01/09/2009,885.5,906.75,914.75,882.75,-2.34%,-0.023399999999999997,0.22989800979224878,False,False,9.682344187411651e-05,-0.0496,-2.2419816498572547,0.0,1.0,0.0,1.0
01/12/2009,868.0,885.0,885.5,860.25,-1.98%,-0.019799999999999998,-0.022244669564343594,True,False,9.291682097734011e-05,-0.0496,-2.4036706875091207,0.0,1.0000929168209773,0.0,1.0000929168209773
01/13/2009,868.5,868.5,874.0,857.0,0.06%,0.0006,-0.2228941047730557,False,False,9.057102323084543e-05,-0.0496,-2.426513576868846,0.0,1.0001834962597798,0.0,1.0001834962597798
01/14/2009,839.75,868.75,875.0,832.5,-3.31%,-0.0331,-0.467426577210836,False,False,9.096208467762601e-05,-0.0496,-2.606281720932701,0.0,1.0002744750356598,0.0,1.0002744750356598
01/15/2009,839.25,839.5,848.5,812.75,-0.06%,-0.0006,-0.6486974343913515,False,False,9.330765410231479e-05,-0.0496,-2.6526938986532076,0.0,1.0003678083003837,0.0,1.0003678083003837
01/16/2009,848.5,841.75,857.75,826.25,1.10%,0.011000000000000001,-0.7039941504472859,False,False,9.330765410231479e-05,-0.0496,-2.6066942751556024,0.0,1.0004611502738157,0.0,1.0004611502738157
01/20/2009,806.0,851.75,865.75,797.5,-5.01%,-0.0501,-0.8606768994331092,False,False,9.447992534150629e-05,-0.0501,-2.7535964543612153,0.0,1.0005556737686006,0.0,1.0005556737686006
01/21/2009,836.75,806.75,838.5,800.5,3.82%,0.0382,-0.8490984505371042,False,False,0.00010579427587908974,-0.0501,-2.600285327244662,0.0,1.0006615268315837,0.0,1.0006615268315837
01/22/2009,825.5,837.0,844.0,807.5,-1.34%,-0.0134,-0.8070465570065852,False,False,0.00010384579827982243,-0.0501,-2.612352349050737,0.0,1.0007654413266454,0.0,1.0007654413266454
01/23/2009,823.5,824.25,836.0,799.5,-0.24%,-0.0024,-0.7462624611157769,False,False,0.00010306614249411261,-0.0501,-2.600499111521735,0.0,1.0008685863602242,0.0,1.0008685863602242
01/26/2009,830.75,823.5,849.5,810.75,0.88%,0.0088,-0.6370524701414804,False,False,0.00010111634064968733,-0.0501,-2.505037606094508,0.0,1.0009697905291481,0.0,1.0009697905291481
01/27/2009,839.25,833.5,847.5,831.25,1.02%,0.0102,-0.48068237787863444,False,False,9.565185453208613e-05,-0.0501,-2.514976965584115,0.0,1.0010655351459428,0.0,1.0010655351459428
01/28/2009,871.5,840.25,876.0,837.75,3.84%,0.0384,-0.19085308650677307,False,False,9.994600504481532e-05,-0.0501,-2.316931995037455,0.0,1.0011655876469687,0.0,1.0011655876469687
01/29/2009,842.75,871.5,871.75,840.25,-3.30%,-0.033,-0.05480202497924579,False,False,0.00010072626667101403,-0.0501,-2.457144085767812,0.0,1.001266431318932,0.0,1.001266431318932
01/30/2009,822.5,843.0,849.0,817.5,-2.40%,-0.024,-0.08707743378150087,False,False,9.877532832303082e-05,-0.0501,-2.6098419348367585,0.0,1.0013653317394242,0.0,1.0013653317394242
02/02/2009,821.25,823.75,827.5,806.25,-0.15%,-0.0015,-0.16337261504742331,False,False,9.52612494617977e-05,-0.0501,-2.6265489936874236,0.0,1.0014607230520935,0.0,1.0014607230520935
02/03/2009,831.5,821.75,839.75,816.0,1.25%,0.0125,-0.1819869368224376,False,False,9.877532832303082e-05,-0.0501,-2.5668914776344818,0.0,1.0015596426638156,0.0,1.0015596426638156
